License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2015,100,N,173,1286,7,12,12,0,0,3,9,0,9,3
2015,100,R,1494,12987,9,63,50,11,3,20,43,0,32,18
2015,100,SUM,1666,14272,9,75,62,11,3,23,52,0,41,21
2015,101,N,81,637,8,3,3,0,0,0,3,0,0,3
2015,101,R,1432,13236,9,83,56,24,4,15,69,3,47,6
2015,101,SUM,1513,13873,9,86,59,24,4,15,72,3,47,9
2015,102,N,49,425,9,6,6,0,0,6,0,0,0,6
2015,102,R,1408,10735,8,27,18,9,0,12,15,0,15,3
2015,102,SUM,1458,11160,8,33,23,9,0,18,15,0,15,9
2015,103,N,58,431,7,6,6,0,0,0,6,0,3,3
2015,103,R,1620,14563,9,72,61,8,3,9,60,0,50,12
2015,103,SUM,1678,14995,9,78,67,8,3,9,66,0,53,15
2015,104,N,74,591,8,3,3,0,0,0,3,0,3,0
2015,104,R,1160,10029,9,70,58,11,0,15,55,0,29,29
2015,104,SUM,1234,10620,9,73,61,11,0,15,58,0,32,29
2015,109,N,15,57,4,0,0,0,0,0,0,0,0,0
2015,109,R,360,3256,9,39,6,30,3,0,39,0,6,0
2015,109,SUM,375,3313,9,39,6,30,3,0,39,0,6,0
2015,110,N,41,309,8,0,0,0,0,0,0,0,0,0
2015,110,R,785,5964,8,29,26,3,0,15,14,0,18,9
2015,110,SUM,826,6273,8,29,26,3,0,15,14,0,18,9
2015,120,N,27,205,8,0,0,0,0,0,0,0,0,0
2015,120,R,993,7446,8,43,37,5,0,3,40,0,23,15
2015,120,SUM,1020,7651,8,43,37,5,0,3,40,0,23,15
2015,121,N,461,3688,8,54,45,9,0,15,39,0,39,6
2015,121,R,2130,19051,9,211,137,70,5,23,188,0,99,38
2015,121,SUM,2591,22739,9,265,182,79,5,38,227,0,138,44
2015,122,N,95,827,9,6,3,3,0,3,3,0,0,3
2015,122,R,1342,11297,8,47,35,9,3,6,41,0,23,12
